time,cwnd,bytes_in_flight
13.11,15605,0
13.12,15605,0
13.13,15605,0
13.14,15605,0
13.15,15605,0
13.16,15605,0
13.17,15605,0
13.18,15605,0
13.19,15605,0
13.2,15605,0
13.21,15605,0
13.22,15605,0
13.23,15605,0
13.24,15605,0
13.25,15605,0
13.26,15605,0
13.27,15605,0
13.28,15605,0
13.29,15605,0
13.3,15605,0
13.31,15605,0
13.32,15605,0
13.33,15605,0
13.34,15605,0
13.35,15605,0
13.36,15605,0
13.37,15605,0
13.38,15605,0
13.39,15605,0
13.4,15605,0
13.41,15605,0
13.42,15605,0
13.43,15605,0
13.44,15605,0
13.45,15605,0
13.46,15605,0
13.47,15605,0
13.48,15605,0
13.49,15605,0
13.5,15605,0
13.51,15605,0
13.52,15605,0
13.53,15605,0
13.54,15605,0
13.55,15605,0
13.56,15605,0
13.57,15605,0
13.58,15605,0
13.59,15605,0
13.6,15605,0
13.61,15605,0
13.62,15605,0
13.63,15605,0
13.64,15605,0
13.65,15605,0
13.66,15605,0
13.67,15605,0
13.68,15605,0
13.69,15605,0
13.7,15605,0
13.71,15605,0
13.72,15605,0
13.73,15605,0
13.74,15605,0
13.75,15605,0
13.76,15605,0
13.77,15605,0
13.78,15605,0
13.79,15605,0
13.8,15605,0
13.81,15605,0
13.82,15605,0
13.83,15605,0
13.84,15605,0
13.85,15605,0
13.86,15605,0
13.87,15605,0
13.88,15605,0
13.89,15605,0
13.9,15605,0
13.91,15605,0
13.92,15605,0
13.93,15605,0
13.94,15605,0
13.95,15605,0
13.96,15605,0
13.97,15605,0
13.98,15605,0
13.99,15605,0
14,15605,0
14.01,15605,0
14.02,15605,0
14.03,15605,0
14.04,15605,0
14.05,15605,0
14.06,15605,0
14.07,15605,0
14.08,15605,0
14.09,15605,0
14.1,15605,0
14.11,15605,0
14.12,15605,0
14.13,15605,0
14.14,15605,0
14.15,15605,0
14.16,15605,0
14.17,15605,0
14.18,15605,0
14.19,15605,0
14.2,15605,0
14.21,15605,0
14.22,15605,0
14.23,15605,0
14.24,15605,0
14.25,15605,0
14.26,15605,0
14.27,15605,0
14.28,15605,0
14.29,15605,0
14.3,15605,0
14.31,15605,0
14.32,15605,0
14.33,15605,0
14.34,15605,0
14.35,15605,0
14.36,15605,0
14.37,15605,0
14.38,15605,0
14.39,15605,0
14.4,15605,0
14.41,15605,0
14.42,15605,0
14.43,15605,0
14.44,15605,0
14.45,15605,0
14.46,15605,0
14.47,15605,0
14.48,15605,0
14.49,15605,0
14.5,15605,0
14.51,15605,0
14.52,15605,0
14.53,15605,0
14.54,15605,0
14.55,15605,0
14.56,15605,0
14.57,15605,0
14.58,15605,0
14.59,15605,0
14.6,15605,0
14.61,15605,0
14.62,15605,0
14.63,15605,0
14.64,15605,0
14.65,15605,0
14.66,15605,0
14.67,15605,0
14.68,15605,0
14.69,15605,0
14.7,15605,0
14.71,15605,0
14.72,15605,0
14.73,15605,0
14.74,15605,0
14.75,15605,0
14.76,15605,0
14.77,15605,0
14.78,15605,0
14.79,15605,0
14.8,15605,0
14.81,15605,0
14.82,15605,0
14.83,15605,0
14.84,15605,0
14.85,15605,0
14.86,15605,0
14.87,15605,0
14.88,15605,0
14.89,15605,0
14.9,15605,0
14.91,15605,0
14.92,15605,0
14.93,15605,0
14.94,15605,0
14.95,15605,0
14.96,15605,0
14.97,15605,0
14.98,15605,0
14.99,15605,0
15,15605,0
15.01,15605,0
15.02,15605,0
15.03,15605,0
15.04,15605,0
15.05,15605,0
15.06,15605,0
15.07,15605,0
15.08,15605,0
15.09,15605,0
15.1,15605,0
15.11,15605,0
15.12,15605,0
15.13,15605,0
15.14,15605,0
15.15,15605,0
15.16,15605,0
15.17,15605,0
15.18,15605,0
15.19,15605,0
15.2,15605,0
15.21,15605,0
15.22,15605,0
15.23,15605,0
15.24,15605,0
15.25,15605,0
15.26,15605,0
15.27,15605,0
15.28,15605,0
15.29,15605,0
15.3,15605,0
15.31,15605,0
15.32,15605,0
15.33,15605,0
15.34,15605,0
15.35,15605,0
15.36,15605,0
15.37,15605,0
15.38,15605,0
